file_name,entry_id,block_name,source_tag,name_metal_tag,topology_tag,dim_tag,file_size_bytes,file_sha1,chemical_formula_sum_raw,parse_status,parse_fail_reason
0000[Ag][nan]3[ASR]1.cif,0,0000[Ag][nan]3[ASR]1,ASR,Ag,nan,3,4350,6c588869133953513ec3c070772f1959bbe2c03c,"""Ag4 H16 C24 N4 O8""",PASS,
0000[Ag][sql]2[ASR]1.cif,0,0000[Ag][sql]2[ASR]1,ASR,Ag,sql,2,10826,8b81756c59b38c7ec73779f562e50b87366e7443,"""Ag2 H64 C64 N16 O8""",PASS,
0000[Ag][sra]3[ASR]1.cif,0,0000[Ag][sra]3[ASR]1,ASR,Ag,sra,3,10167,46ee2add9a5d15c5a605935eebe251b13be2c674,"""Ag4 H48 C68 N24""",PASS,
0000[AsCd][cds]3[ASR]1.cif,0,0000[AsCd][cds]3[ASR]1,ASR,AsCd,cds,3,7152,ac76cb06219cacf3fb5466d669778815e402f5cf,"""Cd2 As4 H36 C32 N4 O20""",PASS,
0000[Cd][bcu]3[ASR]1.cif,0,0000[Cd][bcu]3[ASR]1,ASR,Cd,bcu,3,13127,1f14cea6375e726351985d82bdfb8f83137b2504,"""Cd4 H64 C96 N8 O16""",PASS,
0000[Cd][deh]3[ASR]1.cif,0,0000[Cd][deh]3[ASR]1,ASR,Cd,deh,3,17631,6fdc53eb000df95af034e028983e94c887924996,"""Cd8 H88 C120 N8 O32""",PASS,
0000[Cd][dia]3[ASR]1.cif,0,0000[Cd][dia]3[ASR]1,ASR,Cd,dia,3,12326,cd4b2bca545eac5d8b8bcfc67b3ff9fb83a45605,"""Cd4 H68 C68 N20 O16""",PASS,
0000[Cd][fsc]3[ASR]1.cif,0,0000[Cd][fsc]3[ASR]1,ASR,Cd,fsc,3,4566,b4b6fca53c9f1ce03843aa150c7717e5fe3c0106,"""Cd1 H14 C24 N12 O8""",PASS,
0000[Cd][nan]2[ASR]1.cif,0,0000[Cd][nan]2[ASR]1,ASR,Cd,nan,2,9528,07ad1925c84bca996540daceeb7d545f0a44328f,"""Cd6 H36 C64 O28""",PASS,
0000[Cd][nan]2[ASR]2.cif,0,0000[Cd][nan]2[ASR]2,ASR,Cd,nan,2,15528,124620c0b480b94d8f244f4a908bd745ff24c848,"""Cd4 H72 C104 N16 O28""",PASS,
0000[Cd][nan]3[ASR]1.cif,0,0000[Cd][nan]3[ASR]1,ASR,Cd,nan,3,33049,a9ec50a4f4d060f72d189b4fde7a5265c368e038,"""Cd16 H160 C232 N16 O64""",PASS,
0000[Cd][nan]3[ASR]10.cif,0,0000[Cd][nan]3[ASR]10,ASR,Cd,nan,3,23465,e1b6de87ef22983f01ffc57bb62f66cf9512c03a,"""Cd8 H120 C148 N32 O36""",PASS,
0000[Cd][nan]3[ASR]11.cif,0,0000[Cd][nan]3[ASR]11,ASR,Cd,nan,3,23460,6d92d4797d513dbfb274be2d11dc7ae024569f0c,"""Cd8 H120 C148 N32 O36""",PASS,
0000[Cd][nan]3[ASR]12.cif,0,0000[Cd][nan]3[ASR]12,ASR,Cd,nan,3,31256,bcdbc8b5ce55195de9bfddc9fa172ffd2fb7cb5d,"""Cd8 H192 C200 N32 O32""",PASS,
0000[Cd][nan]3[ASR]13.cif,0,0000[Cd][nan]3[ASR]13,ASR,Cd,nan,3,12079,dc38fe148ff94cf542de064f2df3583e7e1c1b9a,"""Cd10 H54 C36 N72""",PASS,
0000[Cd][nan]3[ASR]4.cif,0,0000[Cd][nan]3[ASR]4,ASR,Cd,nan,3,6090,24468738242d77e46f1fd91d2dc4b53516db678e,"""Cd3 H28 C32 N5 O14""",PASS,
0000[Cd][nan]3[ASR]5.cif,0,0000[Cd][nan]3[ASR]5,ASR,Cd,nan,3,16019,b0ff7d686b2f68c919d474c4b1533deffd1cc8e3,"""Cd8 H96 C96 O32""",PASS,
0000[Cd][nan]3[ASR]6.cif,0,0000[Cd][nan]3[ASR]6,ASR,Cd,nan,3,19485,15628ee531b4cea3ed0cb0e8ab0c12ff7f6b10ed,"""Cd12 H72 C152 O48""",PASS,
0000[Cd][nan]3[ASR]7.cif,0,0000[Cd][nan]3[ASR]7,ASR,Cd,nan,3,17247,fd8b5a6d7c4fa86655528851334c1057dcf8ad8e,"""Cd6 H76 C120 N24 O24""",PASS,
